title,price,image
"Honda Odyssey 3 поколение , 2004",8200$ ,https://i.cars.kg/preview/r/uFyNley-E8d2hkosS5r2KA/1080x-/20221121/f08f257f515a06f141f111200a70d1a8.jpg
"Mercedes-Benz CLK-Класс W208/A208 [рестайлинг] Купе , 1999",6000$ ,https://i.cars.kg/preview/r/2Q6Zo6ARSH4uXhYTN5khhQ/1080x-/20221121/b23f395718020bf8f838a0a55260e032.jpg
"BMW X5 E70 [рестайлинг] Кроссовер , 2013",33000$ ,https://i.cars.kg/preview/r/Tlr184JBVIuk98trG8wZbw/1080x-/20221121/374f9d977c5c88c443cee889e7501927.jpg
"УАЗ Patriot 1 поколение , 2009",9475$ ,https://i.cars.kg/preview/r/8u6J7m_yRZR4NqPZZNJJvg/1080x-/20221121/58490eb8fee2372eef58e30532111427.jpg
"Dodge Ram 4 поколение , 2016",45000$ ,https://i.cars.kg/preview/r/_yYMCFqQxJe0DQaanV-QTg/1080x-/20221121/d91cd8631fa934043b4a55d48e68894c.jpg
"Hyundai , 2010",9500$ ,https://i.cars.kg/preview/r/o7EqNSktGX1871kgYR1fpQ/1080x-/20221121/f8a68bc324429149f65e0f4958714f45.jpg
"Honda Accord 7 поколение Седан , 2005",9700$ ,https://i.cars.kg/preview/r/_7VX-jtuBlEGsCffS5woFA/1080x-/20221121/9dc2dc24cf348594158d03162bc9a7ba.jpg
"Toyota Prius 4 поколение Хетчбэк , 2016",16000$ ,https://i.cars.kg/preview/r/U6hKqw69mbiucmQ2Q-fbng/1080x-/20221121/c805f4fcdc3fc51d4acdfaa4060b687c.jpeg
"Toyota Avensis 2 поколение Универсал , 2004",7500$ ,https://i.cars.kg/preview/r/0u9VYxdWbvJQ88ou0VYmAg/1080x-/20221121/e186b0eff8b35d6829e3078d45e6144a.jpg
"Toyota Camry XV50 [рестайлинг] Седан , 2021",35000$ ,https://i.cars.kg/preview/r/P0JXyL76Fh4DSkRH0fRgAQ/1080x-/20221121/b63c680339a9717fbe7444bd5898dafa.jpg
"Mazda Demio 1 поколение [рестайлинг] Хетчбэк , 2003",4737$ ,https://i.cars.kg/preview/r/PelVivhuen_qYWD9owpo8g/1080x-/20221120/e1b4968a096687165040a0ffacdbbef5.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 1999",8500$ ,https://i.cars.kg/preview/r/bDYQYURGWvCN3L_lJJpmOA/1080x-/20221120/6c556285e13065293511fe801843ced8.jpg
"Toyota Camry XV30 Седан , 2003",11700$ ,https://i.cars.kg/preview/r/UHuAbdYtKhs6gNkzBIY1Ew/1080x-/20221120/f899ba895c8cc20b7b63d146537bbb5c.jpg
"Toyota Sequoia 2 поколение Внедорожник , 2016",47500$ ,https://i.cars.kg/preview/r/PEdVz1gN9_2UXoMGECn4Vg/1080x-/20221120/8015ca160bbc1a2629601e3186d22059.jpg
"Land Rover Range Rover Sport 1 поколение [рестайлинг] Внедорожник , 2010",21700$ ,https://i.cars.kg/preview/r/KAQa3NWtrLANdpus_46-Xw/1080x-/20221120/cb2c5bf2a9fe13c8f0704245b6550ca1.jpg
"Lexus RX 1 поколение Кроссовер , 2001",11500$ ,https://i.cars.kg/preview/r/KYTZpkv7usSL69LJKpdKUA/1080x-/20221120/c56359b32ae762fb50c47e64bed61a82.jpg
"Toyota Camry XV50 [рестайлинг] Седан , 2017",20000$ ,https://i.cars.kg/preview/r/ADR-jct7mBDxT6U6CR-b3w/1080x-/20221120/7f0817d99a551d0a45ac261ff9fd7feb.jpg
"Nissan Pathfinder R51 Внедорожник , 2005",11000$ ,https://i.cars.kg/preview/r/t0GfjrF82cTGqUK961KwDA/1080x-/20221120/227f6f032ec05fccc4998fde6518f257.jpg
"Toyota Camry XV50 Седан 4-дв. , 2012",18500$ ,https://i.cars.kg/preview/r/3Tb8Ni_GjL6HvNVDiz2NxQ/1080x-/20221120/8557396cc06354d67facab941e83fcbe.webp
"Toyota Altezza XE10 Седан , 2002",7499$ ,https://i.cars.kg/preview/r/3ubpzJU1nKcuQPfrCJyWDw/1080x-/20221120/556e9c80b7ac6f8147976fac130d3bbd.jpg
"Mercedes-Benz Sprinter , 2001",8500$ ,https://i.cars.kg/preview/r/41r9IGGW1NFnAcsy6xrSTA/1080x-/20221120/192a9dc132dd3f47e9eec55cd17bd07d.jpg
"Ford Fiesta 6 поколение [рестайлинг] Хетчбэк 5-дв. , 2018",10300$ ,https://i.cars.kg/preview/r/hAKmcYpqqMZ8WWPTr5nDpQ/1080x-/20221120/87ec4494ba016f13cd65bc5336fc7106.jpg
"Toyota Ipsum 2 поколение Минивэн , 2003",8700$ ,https://i.cars.kg/preview/r/MAE2yrE6jnKUX__4Ion4dg/1080x-/20221120/413fb686648a92894655f67556672e9f.jpg
"Subaru Legacy 3 поколение Седан , 1999",4300$ ,https://i.cars.kg/preview/r/jhHpld9O8Mo3y4LVSD_EUg/1080x-/20221120/19b6772b9e7ee3c5d72807c6b2875682.jpg
"Audi A4 B5 Седан , 1997",3079$ ,https://i.cars.kg/preview/r/Lgi92Kdb_x386d-cbPCGfg/1080x-/20221120/487bc6ca3c5c4f65c52f7f067e062f68.jpg
"Toyota Sienna 3 поколение Минивэн 5-дв. , 2015",30700$ ,https://i.cars.kg/preview/r/Q7yFiDRF9DaFrUZeqUMq0A/1080x-/20221120/be91734a7ee6be1915f97be669038428.jpg
"Toyota Avensis , 2001",5700$ ,https://i.cars.kg/preview/r/bqP1qMUySrVruKtfpJpEaQ/1080x-/20221120/9ddb36a2447669f6ff8f08b282cefd64.jpg
"Toyota Corolla E170 [рестайлинг] Седан , 2016",14500$ ,https://i.cars.kg/preview/r/ECO2tq0OY_IzlnKWY2PILw/1080x-/20221120/059822f1a8e65b175b9d087c8ed86e3a.jpeg
"Mercedes-Benz CLS-Класс C219 Седан 4-дв. , 2005",15490$ ,https://i.cars.kg/preview/r/gf3yNAUhXdxznydrPWlhRQ/1080x-/20221119/21745be4f21c5181c852e94a5c1b53d6.jpg
"Toyota Caldina 2 поколение [рестайлинг] Универсал , 2000",5500$ ,https://i.cars.kg/preview/r/tdrySDJfa-rtn_zcqn4LkA/1080x-/20221119/a41ab789f5632dca1e521277a0771767.jpg
"Toyota Avensis 1 поколение Седан , 1998",5000$ ,https://i.cars.kg/preview/r/jR3bqCgdZSpL1fI9D3ypOA/1080x-/20221119/7908c0fb69bd6b0c37283929258bb9cd.jpg
"Subaru Forester 1 поколение [рестайлинг] STi кроссовер 5-дв. , 2002",7000$ ,https://i.cars.kg/preview/r/R8IydImFgDj5Yezo8FV8aw/1080x-/20221119/bddd2a7186a5a32568236f860b9ed361.jpg
"Mercedes-Benz M-Класс W164 Кроссовер , 2005",11000$ ,https://i.cars.kg/preview/r/s63Ag-S1YFIO9iAQCjbYog/1080x-/20221119/f567a5cf54b9285ecb7ae807742d47d7.jpg
"Toyota Estima 2 поколение Минивэн , 2001",7600$ ,https://i.cars.kg/preview/r/Al2rw4RhZuSVQmg2ehN8NQ/1080x-/20221119/c381f37ade4e0c54ab2067c4f9ce551f.jpg
"Hyundai Sonata YF Седан 4-дв. , 2016",14700$ ,https://i.cars.kg/preview/r/39tNXG7QOrrrL0k5xXG4xw/1080x-/20221119/d8ed45e97521499882d2a851005974c2.jpg
"Honda Accord 7 поколение Седан , 2003",10500$ ,https://i.cars.kg/preview/r/pizNAPDSztC8KNMx5TwdVw/1080x-/20221119/ff6e3e9aaac86d3c3cf1c6bd4284e102.jpg
"Mercedes-Benz C-Класс W203/S203/CL203 Седан 4-дв. , 2001",4737$ ,https://i.cars.kg/preview/r/NDYhC2E7agcc4_NhzGG-uQ/1080x-/20221119/dd954bd207723e0b3d7d58b3a1203d1a.jpg
"Toyota Yaris P1 Хетчбэк 5-дв. , 2002",5200$ ,https://i.cars.kg/preview/r/wRWVKG9Bf4nai9laVNpbuQ/1080x-/20221119/239aa30d6ab242b7f6d591087c47ca8a.jpg
"BMW X5 E70 Кроссовер , 2010",20999$ ,https://i.cars.kg/preview/r/kW9efBYKYnyWqhK4rqshyQ/1080x-/20221119/69b10ced4bbb79e7d4d00ae7c0052eb7.jpg
"Volkswagen Golf 4 поколение Хетчбэк 5-дв. , 2003",6300$ ,https://i.cars.kg/preview/r/G2DMiUxIPUNM7PXc56wnzQ/1080x-/20221119/19cd23babd43ebfafeaf72a9b03e35e1.jpg
"Volkswagen Passat B3 Универсал , 1991",4027$ ,https://i.cars.kg/preview/r/1W6JHcOF3sgdB4WrHUbAbg/1080x-/20221118/faffc3d14515e6cdd0aa602e932cce68.jpg
"Ford Transit 5 поколение Микроавтобус , 2004",5329$ ,https://i.cars.kg/preview/r/TRkj4UGKihi1-9yRAnpHyA/1080x-/20221118/b1dc0db682db925a6d8035df3af1d034.jpg
"Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1998",6500$ ,https://i.cars.kg/preview/r/H5WGuJtO_kUJhyoFulEK-w/1080x-/20221118/eef9ca4a5acb4a315241579ef2f18ca5.jpg
"Subaru Legacy 4 поколение Седан , 2003",7500$ ,https://i.cars.kg/preview/r/Mwzw2QHnhrHrIPCGcnxzzQ/1080x-/20221118/ca0c6eeeee3f1275c5e44c8d46b1f3d2.jpg
"Lexus , 2016",52900$ ,https://i.cars.kg/preview/r/HwQx12QrrJgIYSbX2qEWXw/1080x-/20221118/776d492f5469f6a8b25e351b88b0f2bb.jpg
"Chevrolet , 2012",20000$ ,https://i.cars.kg/preview/r/eU29beMuyK63k3V6fRNIbg/1080x-/20221118/559dbe0eae2d8ad00bb545881334c6e7.jpg
"Toyota Yaris XP9 RS хетчбэк 5-дв. , 2008",6200$ ,https://i.cars.kg/preview/r/C9-SU3bUjiYlEdMe9F5JDg/1080x-/20221118/f8d84e4eb5a46a89244e2d295757b635.webp
"Honda Fit 2 поколение [рестайлинг] RS хетчбэк 5-дв. , 2010",10500$ ,https://i.cars.kg/preview/r/SDbB-ooUc8zfoZilciaFAg/1080x-/20221118/06a97f1e66d9b0f398f21a020c09e726.jpg
"Toyota Camry XV40 Седан 4-дв. , 2009",13200$ ,https://i.cars.kg/preview/r/iR3q2lG-ve-LMQWwiKrgrA/1080x-/20221118/fbd2a0236804c79b1c978086003bac69.jpg
"Toyota Camry XV30 Седан , 2003",8600$ ,https://i.cars.kg/preview/r/3PZuotCUxUX5JovhfB6Wpw/1080x-/20221118/96492d3987f236d3c957833461b95ca8.jpg
"Honda Accord , 2008",11200$ ,https://i.cars.kg/preview/r/vvCuDSxF8j-KRg_6p9IAtg/1080x-/20221118/32e9f7b5ac7c2a33d583ab6a30598cbc.jpg
"Toyota Camry XV50 [рестайлинг] Седан , 2016",16700$ ,https://i.cars.kg/preview/r/trAlj945wg8ZuF63rkhkMA/1080x-/20221118/c461ef4b14fcdb562a1d0c2189f79b46.jpg
"Subaru Forester 2 поколение Кроссовер , 2003",6040$ ,https://i.cars.kg/preview/r/SEMe0FGXew78HrzvZsRHdQ/1080x-/20221117/e1f9c69af95c9302249477c5861f9807.jpg
"Toyota Windom MCV20 [рестайлинг] Седан , 1999",6000$ ,https://i.cars.kg/preview/r/Qi7fzRDotSfEHblc7aZS0Q/1080x-/20221117/60c0ac61c0a159bde6ec1b6b690c3b07.jpg
"Lexus RX 4 поколение Кроссовер , 2016",39500$ ,https://i.cars.kg/preview/r/M_lxkjyDmW-aMUfTA7tpEQ/1080x-/20221117/657c7f20562dd046ab0f12cc5bcff758.jpg
"Toyota , 2014",20800$ ,https://i.cars.kg/preview/r/f7KcJz7KK5r36ajUIkAgPQ/1080x-/20221117/bdfdc3a40e45f7e5c49e9b3a1d0d9c63.jpg
"BMW 5 серия F07/F10/F11 [рестайлинг] Седан , 2017",32000$ ,https://i.cars.kg/preview/r/5dPgxSLxzG1YbxL-2WEVKQ/1080x-/20221117/49811fb0a437c4dc91426f41205ffd26.jpg
"Mercedes-Benz S-Класс W220 Седан , 1998",7100$ ,https://i.cars.kg/preview/r/dzEHxBE7AABr-Q2xnjNE8w/1080x-/20221117/341131b304b8e04a47acbe49129de9b6.jpg
"Mercedes-Benz S-Класс W221 Седан , 2008",20$ ,https://i.cars.kg/preview/r/5Qfgt3dvb_X_tzzM6mzf9w/1080x-/20221117/fe52c8714b14f458a33b851a2cac4b93.jpg
"Mercedes-Benz C-Класс W202/S202 Седан , 1995",6800$ ,https://i.cars.kg/preview/r/wjRNJYgDv_mrLlhqtehaHg/1080x-/20221117/eaebd9376785372af6b618e566f4c319.jpg
"Chevrolet Equinox 2 поколение Кроссовер , 2017",21600$ ,https://i.cars.kg/preview/r/7VrduFJaSkvJb_CgbhjieA/1080x-/20221117/2469c1ff5bee6a9d5232d3795963df38.jpg
"Subaru , 2003",7900$ ,
"Toyota Camry , 2018",24900$ ,https://i.cars.kg/preview/r/Fy9rF2Dizmo-tHoKajpjEg/1080x-/20221117/acd8deacdfadb7637b9b0a82521e2576.jpg
"Toyota Land Cruiser Prado J150 [рестайлинг] Внедорожник , 2014",38500$ ,https://i.cars.kg/preview/r/n_KVpO8vQCTHSSxcRKZNfA/1080x-/20221117/c82d3907c37855bdcc97885fcf17aaaf.jpg
"Kia Rio 3 поколение [рестайлинг] Седан , 2015",9900$ ,https://i.cars.kg/preview/r/pPOC3R0z1tpbZXmhbHT77Q/1080x-/20221117/d67e1d2c89528a3accb9c5a9c6af7ae9.jpg
"Mercedes-Benz Sprinter , 2002",7757$ ,https://i.cars.kg/preview/r/U3irJMdXyI8MOKqWvxkp7A/1080x-/20221117/8ca612e584a9c911b27833723ebab826.jpg
"BMW X5 E70 Кроссовер , 2008",14300$ ,https://i.cars.kg/preview/r/Wo0ijb6oqdt_p1hoN0mkfA/1080x-/20221117/e08c574dc65efbcd6fbdd59d092d35e3.jpg
"Mercedes-Benz S-Класс W140/C140 [рестайлинг] Седан , 1995",6600$ ,https://i.cars.kg/preview/r/jAsgbAL8s7vfgfsArstVtw/1080x-/20221116/9b559a98a865814e1c7ab9a7f0a9f996.webp
"Honda Elysion 1 поколение , 2004",13800$ ,https://i.cars.kg/preview/r/mg4pjZJzq9BCWxhSZj2HGQ/1080x-/20221116/cc1baceb1a44779c4cc1fc464acdb98a.jpg
"Kia , 2020",8000$ ,
"Mercedes-Benz B-Класс W245 Хетчбэк , 2007",8500$ ,https://i.cars.kg/preview/r/Rlhb5W7ZyL7xDiwOPXe6SQ/1080x-/20221116/ea97d0e864d746255efe69ad4b401188.jpg
"Mercedes-Benz E-Класс W124 [2-й рестайлинг] Универсал , 1995",6$ ,https://i.cars.kg/preview/r/oB0R1B1xXZLIsKLzTkAkSw/1080x-/20221116/658daa2641a636a97b3db9744f85d656.jpg
"Toyota Rush 1 поколение [рестайлинг] Кроссовер , 2022",30100$ ,https://i.cars.kg/preview/r/trB69c2cgGa-aYFzURbm6w/1080x-/20221116/b904e7e113fc7e74965057e02bd2f21d.webp
"Toyota Camry XV30 Седан , 2004",10700$ ,https://i.cars.kg/preview/r/t7Hk6zIi_nZ2w42QAgZF9w/1080x-/20221116/9cfae61d61dfbde1ae1a3a1e4fdf2412.webp
"Toyota Land Cruiser J100 Внедорожник , 2002",28999$ ,https://i.cars.kg/preview/r/oNG2IhFJbHg2OZFGaNKVQw/1080x-/20221116/77b815a2e1e513ce4c4b61fd47ea5111.jpg
"Toyota Highlander 3 поколение Кроссовер , 2016",68500$ ,https://i.cars.kg/preview/r/RUXF0rxpznoxFo0pI-DFjw/1080x-/20221116/77e51f2a0499ed6753e8192e06d3d6e9.jpg
"Toyota Land Cruiser Prado J150 [рестайлинг] Внедорожник , 2014",40000$ ,https://i.cars.kg/preview/r/oknbI0ajBTBM-l7nY3qx5w/1080x-/20221116/08a3d47afe8548de0db743c7dc780acd.jpg
"Kia Sportage 2 поколение [рестайлинг] Кроссовер , 2008",11000$ ,https://i.cars.kg/preview/r/soHy7Mt1z80_U84sHrGn0g/1080x-/20221116/af7bb426a50689d8aca1ac1286dbbf03.webp
"Mazda Capella 7 поколение Седан , 1998",3908$ ,https://i.cars.kg/preview/r/kV1-JCQMJ_0eyrCme82g8g/1080x-/20221116/222e39d8dbd774b75230aa17b5099ea3.jpg
"Mercedes-Benz B-Класс W245 [рестайлинг] Хетчбэк , 2009",9$ ,https://i.cars.kg/preview/r/tZIYLGp2aCXHzE2Qt98PQQ/1080x-/20221116/ac3267dd2e770c6dd7e661dc9658da06.jpg
"BMW X5 E53 Кроссовер , 2002",8200$ ,https://i.cars.kg/preview/r/nTYO6_Kq5PvHhZaXI2nyag/1080x-/20221116/a087d38079e7f67e11edec2131556538.jpg
"Subaru Forester , 2015",16500$ ,https://i.cars.kg/preview/r/R0c1N8iGTD5GKQOXvK13Jw/1080x-/20221116/bc84e5460043c1098b86ba018cff6c53.jpg
"Mercedes-Benz E-Класс W124 Седан 4-дв. , 1989",2131$ ,https://i.cars.kg/preview/r/Rasulur1ExtV1ieJ14Ky0g/1080x-/20221116/8001ef6a2f888f20a96be68edd913ba9.jpeg
"Honda Fit 1 поколение Хетчбэк , 2003",7500$ ,https://i.cars.kg/preview/r/1bBUEiW_nw9BMpS37FKD-g/1080x-/20221116/a8376644b64363b99fa8b2074c90b0a7.jpg
"BMW X6 F16 Sports Activity Coupe кроссовер , 2016",55000$ ,https://i.cars.kg/preview/r/ntR8xpukuHzYWsKLfz5KAQ/1080x-/20221116/fca5e4081e8776b39369b9303b43ffe8.jpg
"Land Rover Range Rover 4 поколение Внедорожник , 2013",60000$ ,https://i.cars.kg/preview/r/7tdHbkwePOWMRF7fpZ4Zvg/1080x-/20221116/99f57673de32203608b2a941a0bc29ce.jpg
"Hyundai Sonata YF Седан 4-дв. , 2016",14200$ ,https://i.cars.kg/preview/r/DRxxg-BM-e0z5-etaPDruw/1080x-/20221115/e3233f2382b0dd8ad20a1af498e1ddc0.webp
"Subaru Forester 1 поколение [рестайлинг] Кроссовер , 2000",3908$ ,https://i.cars.kg/preview/r/BCWEeXfLqqBnTP2CtV3O0A/1080x-/20221115/67f71c1d461b22b7e1d0e671c6fa0967.jpg
"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016",22800$ ,https://i.cars.kg/preview/r/l0SH6PMtVS4GmABN7mr6vg/1080x-/20221115/db64305e8eb8466656983cd87f03d353.jpg
"Subaru Impreza 2 поколение Седан , 2002",12000$ ,https://i.cars.kg/preview/r/S3ag9Ek5YbgAacSlK7a3vQ/1080x-/20221115/85345e7df45b75abee8865353ebea7fd.jpg
"Toyota Vitz XP10 [рестайлинг] Хетчбэк 3-дв. , 2003",5200$ ,https://i.cars.kg/preview/r/q1xaS3OfIPKOxAgrPn_7-Q/1080x-/20221115/06c7595924d56c65d124fd7d651ab1e9.jpg
"Honda Insight 2 поколение Хетчбэк , 2009",9900$ ,https://i.cars.kg/preview/r/-HCX76S0PyK2oQ_yjsFMCg/1080x-/20221115/eea00695590c26553e02bbd706aa6883.jpeg
"Land Rover Range Rover 3 поколение [2-й рестайлинг] Внедорожник , 2011",21500$ ,https://i.cars.kg/preview/r/SIv7YH_rScctdlxRCY2A5w/1080x-/20221115/9199bc96330929ff233fca18d918499a.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2005",9000$ ,https://i.cars.kg/preview/r/_Q0FN41ShfIlJKKMJMrcPQ/1080x-/20221115/e078adecdcde79dacdcbbcece4b90956.jpg
"Toyota Land Cruiser Prado J90 Внедорожник 5-дв. , 2003",11500$ ,https://i.cars.kg/preview/r/ChI2NXo9ZpJVsSJqx8VgFw/1080x-/20221115/77f0e2cd8be90a0a4a6df46067a9be5a.jpg
